country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
Zimbabwe,Electricity - exports,1990,"Kilowatt-hours, million",5,,total_electricity
Zimbabwe,Electricity - exports,1991,"Kilowatt-hours, million",81,,total_electricity
Zimbabwe,Electricity - exports,1992,"Kilowatt-hours, million",0,,total_electricity
Zimbabwe,Electricity - exports,1993,"Kilowatt-hours, million",3,,total_electricity
Zimbabwe,Electricity - exports,1994,"Kilowatt-hours, million",0,,total_electricity
Zimbabwe,Electricity - exports,1995,"Kilowatt-hours, million",0,,total_electricity
Zimbabwe,Electricity - exports,1996,"Kilowatt-hours, million",0,,total_electricity
Zimbabwe,Electricity - exports,1997,"Kilowatt-hours, million",57,,total_electricity
Zimbabwe,Electricity - exports,2005,"Kilowatt-hours, million",36,,total_electricity
Zimbabwe,Electricity - exports,2006,"Kilowatt-hours, million",347,,total_electricity
Zimbabwe,Electricity - exports,2007,"Kilowatt-hours, million",29,,total_electricity
Zimbabwe,Electricity - exports,2008,"Kilowatt-hours, million",571,,total_electricity
Zimbabwe,Electricity - exports,2009,"Kilowatt-hours, million",1045.5,,total_electricity
Zimbabwe,Electricity - exports,2010,"Kilowatt-hours, million",694.4,,total_electricity
Zimbabwe,Electricity - exports,2011,"Kilowatt-hours, million",988.2,,total_electricity
Zimbabwe,Electricity - exports,2012,"Kilowatt-hours, million",700.9,,total_electricity
Zimbabwe,Electricity - exports,2013,"Kilowatt-hours, million",1189.3,,total_electricity
Zimbabwe,Electricity - exports,2014,"Kilowatt-hours, million",1226,,total_electricity
Zambia,Electricity - exports,1990,"Kilowatt-hours, million",1500,1,total_electricity
Zambia,Electricity - exports,1991,"Kilowatt-hours, million",1500,1,total_electricity
Zambia,Electricity - exports,1992,"Kilowatt-hours, million",1500,1,total_electricity
Zambia,Electricity - exports,1993,"Kilowatt-hours, million",1500,1,total_electricity
Zambia,Electricity - exports,1994,"Kilowatt-hours, million",1500,1,total_electricity
Zambia,Electricity - exports,1995,"Kilowatt-hours, million",1307,1,total_electricity
Zambia,Electricity - exports,1996,"Kilowatt-hours, million",697,1,total_electricity
Zambia,Electricity - exports,1997,"Kilowatt-hours, million",1727,1,total_electricity
Zambia,Electricity - exports,1998,"Kilowatt-hours, million",1764,1,total_electricity
Zambia,Electricity - exports,1999,"Kilowatt-hours, million",1682,,total_electricity
Zambia,Electricity - exports,2000,"Kilowatt-hours, million",1855,,total_electricity
Zambia,Electricity - exports,2001,"Kilowatt-hours, million",1052,,total_electricity
Zambia,Electricity - exports,2002,"Kilowatt-hours, million",778,,total_electricity
Zambia,Electricity - exports,2003,"Kilowatt-hours, million",504,,total_electricity
Zambia,Electricity - exports,2004,"Kilowatt-hours, million",231,,total_electricity
Zambia,Electricity - exports,2005,"Kilowatt-hours, million",243,,total_electricity
Zambia,Electricity - exports,2006,"Kilowatt-hours, million",552,,total_electricity
Zambia,Electricity - exports,2007,"Kilowatt-hours, million",417,,total_electricity
Zambia,Electricity - exports,2008,"Kilowatt-hours, million",96,,total_electricity
Zambia,Electricity - exports,2009,"Kilowatt-hours, million",589,,total_electricity
Zambia,Electricity - exports,2010,"Kilowatt-hours, million",578,,total_electricity
Zambia,Electricity - exports,2011,"Kilowatt-hours, million",29,,total_electricity
Zambia,Electricity - exports,2012,"Kilowatt-hours, million",980,,total_electricity
Zambia,Electricity - exports,2013,"Kilowatt-hours, million",1083,,total_electricity
Zambia,Electricity - exports,2014,"Kilowatt-hours, million",1256,,total_electricity
"Yugoslavia, SFR (former)",Electricity - exports,1990,"Kilowatt-hours, million",3807,,total_electricity
"Yugoslavia, SFR (former)",Electricity - exports,1991,"Kilowatt-hours, million",2300,1,total_electricity
Viet Nam,Electricity - exports,2008,"Kilowatt-hours, million",1,,total_electricity
Viet Nam,Electricity - exports,2009,"Kilowatt-hours, million",11,,total_electricity
Viet Nam,Electricity - exports,2010,"Kilowatt-hours, million",57,,total_electricity
Viet Nam,Electricity - exports,2011,"Kilowatt-hours, million",79,,total_electricity
Viet Nam,Electricity - exports,2012,"Kilowatt-hours, million",29,,total_electricity
Viet Nam,Electricity - exports,2013,"Kilowatt-hours, million",178,,total_electricity
Viet Nam,Electricity - exports,2014,"Kilowatt-hours, million",880,,total_electricity
Venezuela (Bolivar. Rep.),Electricity - exports,1990,"Kilowatt-hours, million",0,1,total_electricity
Venezuela (Bolivar. Rep.),Electricity - exports,1991,"Kilowatt-hours, million",200,1,total_electricity
Venezuela (Bolivar. Rep.),Electricity - exports,1992,"Kilowatt-hours, million",360,,total_electricity
Venezuela (Bolivar. Rep.),Electricity - exports,2003,"Kilowatt-hours, million",0,,total_electricity
Venezuela (Bolivar. Rep.),Electricity - exports,2004,"Kilowatt-hours, million",484,,total_electricity
Venezuela (Bolivar. Rep.),Electricity - exports,2005,"Kilowatt-hours, million",584,,total_electricity
Venezuela (Bolivar. Rep.),Electricity - exports,2006,"Kilowatt-hours, million",549,,total_electricity
Venezuela (Bolivar. Rep.),Electricity - exports,2007,"Kilowatt-hours, million",540,,total_electricity
Venezuela (Bolivar. Rep.),Electricity - exports,2008,"Kilowatt-hours, million",569,,total_electricity
Venezuela (Bolivar. Rep.),Electricity - exports,2009,"Kilowatt-hours, million",633,,total_electricity
Uzbekistan,Electricity - exports,1992,"Kilowatt-hours, million",16404,,total_electricity
Uzbekistan,Electricity - exports,1993,"Kilowatt-hours, million",15621,,total_electricity
Uzbekistan,Electricity - exports,1994,"Kilowatt-hours, million",15200,,total_electricity
Uzbekistan,Electricity - exports,1995,"Kilowatt-hours, million",14199,,total_electricity
Uzbekistan,Electricity - exports,1996,"Kilowatt-hours, million",12826,,total_electricity
