country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
Zimbabwe,Electricity - imports,1990,"Kilowatt-hours, million",879,,total_electricity
Zimbabwe,Electricity - imports,1991,"Kilowatt-hours, million",1838,,total_electricity
Zimbabwe,Electricity - imports,1992,"Kilowatt-hours, million",1201,,total_electricity
Zimbabwe,Electricity - imports,1993,"Kilowatt-hours, million",1921,,total_electricity
Zimbabwe,Electricity - imports,1994,"Kilowatt-hours, million",2073,,total_electricity
Zimbabwe,Electricity - imports,1995,"Kilowatt-hours, million",2669,,total_electricity
Zimbabwe,Electricity - imports,1996,"Kilowatt-hours, million",3714,,total_electricity
Zimbabwe,Electricity - imports,1997,"Kilowatt-hours, million",4526,,total_electricity
Zimbabwe,Electricity - imports,1998,"Kilowatt-hours, million",4923,,total_electricity
Zimbabwe,Electricity - imports,1999,"Kilowatt-hours, million",5275,,total_electricity
Zimbabwe,Electricity - imports,2000,"Kilowatt-hours, million",5095,,total_electricity
Zimbabwe,Electricity - imports,2001,"Kilowatt-hours, million",4066,,total_electricity
Zimbabwe,Electricity - imports,2002,"Kilowatt-hours, million",4010,,total_electricity
Zimbabwe,Electricity - imports,2003,"Kilowatt-hours, million",3185,,total_electricity
Zimbabwe,Electricity - imports,2004,"Kilowatt-hours, million",2040,,total_electricity
Zimbabwe,Electricity - imports,2005,"Kilowatt-hours, million",3013,,total_electricity
Zimbabwe,Electricity - imports,2006,"Kilowatt-hours, million",4246,,total_electricity
Zimbabwe,Electricity - imports,2007,"Kilowatt-hours, million",2956,,total_electricity
Zimbabwe,Electricity - imports,2008,"Kilowatt-hours, million",1686,,total_electricity
Zimbabwe,Electricity - imports,2009,"Kilowatt-hours, million",1882.1,,total_electricity
Zimbabwe,Electricity - imports,2010,"Kilowatt-hours, million",1681.7,,total_electricity
Zimbabwe,Electricity - imports,2011,"Kilowatt-hours, million",1578.7,,total_electricity
Zimbabwe,Electricity - imports,2012,"Kilowatt-hours, million",1076.1,,total_electricity
Zimbabwe,Electricity - imports,2013,"Kilowatt-hours, million",1722,,total_electricity
Zimbabwe,Electricity - imports,2014,"Kilowatt-hours, million",1127,,total_electricity
Zambia,Electricity - imports,1990,"Kilowatt-hours, million",20,1,total_electricity
Zambia,Electricity - imports,1991,"Kilowatt-hours, million",20,1,total_electricity
Zambia,Electricity - imports,1992,"Kilowatt-hours, million",20,1,total_electricity
Zambia,Electricity - imports,1993,"Kilowatt-hours, million",20,1,total_electricity
Zambia,Electricity - imports,1994,"Kilowatt-hours, million",20,1,total_electricity
Zambia,Electricity - imports,2003,"Kilowatt-hours, million",0,,total_electricity
Zambia,Electricity - imports,2004,"Kilowatt-hours, million",0,,total_electricity
Zambia,Electricity - imports,2005,"Kilowatt-hours, million",0,,total_electricity
Zambia,Electricity - imports,2006,"Kilowatt-hours, million",46,,total_electricity
Zambia,Electricity - imports,2007,"Kilowatt-hours, million",275,,total_electricity
Zambia,Electricity - imports,2008,"Kilowatt-hours, million",264,,total_electricity
Zambia,Electricity - imports,2009,"Kilowatt-hours, million",10,,total_electricity
Zambia,Electricity - imports,2010,"Kilowatt-hours, million",13,,total_electricity
Zambia,Electricity - imports,2011,"Kilowatt-hours, million",120,,total_electricity
Zambia,Electricity - imports,2012,"Kilowatt-hours, million",163,,total_electricity
Zambia,Electricity - imports,2013,"Kilowatt-hours, million",73,,total_electricity
Zambia,Electricity - imports,2014,"Kilowatt-hours, million",13,,total_electricity
"Yugoslavia, SFR (former)",Electricity - imports,1990,"Kilowatt-hours, million",3253,,total_electricity
"Yugoslavia, SFR (former)",Electricity - imports,1991,"Kilowatt-hours, million",3600,1,total_electricity
Viet Nam,Electricity - imports,2005,"Kilowatt-hours, million",383,,total_electricity
Viet Nam,Electricity - imports,2006,"Kilowatt-hours, million",966,,total_electricity
Viet Nam,Electricity - imports,2007,"Kilowatt-hours, million",2630,,total_electricity
Viet Nam,Electricity - imports,2008,"Kilowatt-hours, million",146,,total_electricity
Viet Nam,Electricity - imports,2009,"Kilowatt-hours, million",199,,total_electricity
Viet Nam,Electricity - imports,2010,"Kilowatt-hours, million",299,,total_electricity
Viet Nam,Electricity - imports,2011,"Kilowatt-hours, million",301,,total_electricity
Viet Nam,Electricity - imports,2012,"Kilowatt-hours, million",159,,total_electricity
Viet Nam,Electricity - imports,2013,"Kilowatt-hours, million",221,,total_electricity
Viet Nam,Electricity - imports,2014,"Kilowatt-hours, million",2053,,total_electricity
Venezuela (Bolivar. Rep.),Electricity - imports,2004,"Kilowatt-hours, million",0,,total_electricity
Venezuela (Bolivar. Rep.),Electricity - imports,2005,"Kilowatt-hours, million",0,,total_electricity
Venezuela (Bolivar. Rep.),Electricity - imports,2006,"Kilowatt-hours, million",0,,total_electricity
Venezuela (Bolivar. Rep.),Electricity - imports,2007,"Kilowatt-hours, million",0,,total_electricity
Venezuela (Bolivar. Rep.),Electricity - imports,2008,"Kilowatt-hours, million",102,,total_electricity
Venezuela (Bolivar. Rep.),Electricity - imports,2009,"Kilowatt-hours, million",260,,total_electricity
Venezuela (Bolivar. Rep.),Electricity - imports,2010,"Kilowatt-hours, million",0,,total_electricity
Venezuela (Bolivar. Rep.),Electricity - imports,2011,"Kilowatt-hours, million",249,,total_electricity
Venezuela (Bolivar. Rep.),Electricity - imports,2012,"Kilowatt-hours, million",480,,total_electricity
Venezuela (Bolivar. Rep.),Electricity - imports,2013,"Kilowatt-hours, million",715,,total_electricity
Uzbekistan,Electricity - imports,1992,"Kilowatt-hours, million",15914,,total_electricity
Uzbekistan,Electricity - imports,1993,"Kilowatt-hours, million",15214,,total_electricity
Uzbekistan,Electricity - imports,1994,"Kilowatt-hours, million",14800,,total_electricity
Uzbekistan,Electricity - imports,1995,"Kilowatt-hours, million",12909,,total_electricity
Uzbekistan,Electricity - imports,1996,"Kilowatt-hours, million",13918,,total_electricity
Uzbekistan,Electricity - imports,1997,"Kilowatt-hours, million",12418,,total_electricity
Uzbekistan,Electricity - imports,1998,"Kilowatt-hours, million",12362,,total_electricity
Uzbekistan,Electricity - imports,1999,"Kilowatt-hours, million",12305,,total_electricity
Uzbekistan,Electricity - imports,2000,"Kilowatt-hours, million",14026,,total_electricity
Uzbekistan,Electricity - imports,2001,"Kilowatt-hours, million",13453,,total_electricity
Uzbekistan,Electricity - imports,2002,"Kilowatt-hours, million",11444,,total_electricity
Uzbekistan,Electricity - imports,2003,"Kilowatt-hours, million",11465,,total_electricity
Uzbekistan,Electricity - imports,2004,"Kilowatt-hours, million",11604,,total_electricity
Uzbekistan,Electricity - imports,2005,"Kilowatt-hours, million",11418,,total_electricity
Uzbekistan,Electricity - imports,2006,"Kilowatt-hours, million",11817,,total_electricity
Uzbekistan,Electricity - imports,2007,"Kilowatt-hours, million",11360,,total_electricity
Uzbekistan,Electricity - imports,2008,"Kilowatt-hours, million",11464,,total_electricity
Uzbekistan,Electricity - imports,2009,"Kilowatt-hours, million",11916,,total_electricity
Uzbekistan,Electricity - imports,2010,"Kilowatt-hours, million",12333,,total_electricity
Uzbekistan,Electricity - imports,2011,"Kilowatt-hours, million",12500,,total_electricity
Uzbekistan,Electricity - imports,2012,"Kilowatt-hours, million",12524,,total_electricity
Uzbekistan,Electricity - imports,2013,"Kilowatt-hours, million",12930,,total_electricity
Uzbekistan,Electricity - imports,2014,"Kilowatt-hours, million",13216,,total_electricity
USSR (former),Electricity - imports,1990,"Kilowatt-hours, million",947,,total_electricity
USSR (former),Electricity - imports,1991,"Kilowatt-hours, million",70,,total_electricity
Uruguay,Electricity - imports,1990,"Kilowatt-hours, million",51,,total_electricity
Uruguay,Electricity - imports,1991,"Kilowatt-hours, million",0,,total_electricity
Uruguay,Electricity - imports,1992,"Kilowatt-hours, million",12,,total_electricity
Uruguay,Electricity - imports,1993,"Kilowatt-hours, million",15,,total_electricity
Uruguay,Electricity - imports,1994,"Kilowatt-hours, million",15,,total_electricity
Uruguay,Electricity - imports,1995,"Kilowatt-hours, million",188,,total_electricity
Uruguay,Electricity - imports,1996,"Kilowatt-hours, million",308,,total_electricity
Uruguay,Electricity - imports,1997,"Kilowatt-hours, million",271,,total_electricity
Uruguay,Electricity - imports,1998,"Kilowatt-hours, million",78,,total_electricity
Uruguay,Electricity - imports,1999,"Kilowatt-hours, million",708,,total_electricity
Uruguay,Electricity - imports,2000,"Kilowatt-hours, million",1328,,total_electricity
Uruguay,Electricity - imports,2001,"Kilowatt-hours, million",123,,total_electricity
Uruguay,Electricity - imports,2002,"Kilowatt-hours, million",559,,total_electricity
Uruguay,Electricity - imports,2003,"Kilowatt-hours, million",434,,total_electricity
Uruguay,Electricity - imports,2004,"Kilowatt-hours, million",2348,,total_electricity
Uruguay,Electricity - imports,2005,"Kilowatt-hours, million",1585,,total_electricity
Uruguay,Electricity - imports,2006,"Kilowatt-hours, million",2835,,total_electricity
Uruguay,Electricity - imports,2007,"Kilowatt-hours, million",788,,total_electricity
Uruguay,Electricity - imports,2008,"Kilowatt-hours, million",962.8,,total_electricity
Uruguay,Electricity - imports,2009,"Kilowatt-hours, million",1468,,total_electricity
Uruguay,Electricity - imports,2010,"Kilowatt-hours, million",386.8,,total_electricity
Uruguay,Electricity - imports,2011,"Kilowatt-hours, million",476.9,,total_electricity
Uruguay,Electricity - imports,2012,"Kilowatt-hours, million",741.9,,total_electricity
Uruguay,Electricity - imports,2013,"Kilowatt-hours, million",0,,total_electricity
Uruguay,Electricity - imports,2014,"Kilowatt-hours, million",0,,total_electricity
United States of America,Electricity - imports,1990,"Kilowatt-hours, million",22506,,total_electricity
United States of America,Electricity - imports,1991,"Kilowatt-hours, million",30812,,total_electricity
United States of America,Electricity - imports,1992,"Kilowatt-hours, million",37204,,total_electricity
United States of America,Electricity - imports,1993,"Kilowatt-hours, million",39082,,total_electricity
United States of America,Electricity - imports,1994,"Kilowatt-hours, million",52230,,total_electricity
United States of America,Electricity - imports,1995,"Kilowatt-hours, million",46760,,total_electricity
United States of America,Electricity - imports,1996,"Kilowatt-hours, million",45288,,total_electricity
United States of America,Electricity - imports,1997,"Kilowatt-hours, million",43032,,total_electricity
United States of America,Electricity - imports,1998,"Kilowatt-hours, million",39513,,total_electricity
United States of America,Electricity - imports,1999,"Kilowatt-hours, million",43215,,total_electricity
United States of America,Electricity - imports,2000,"Kilowatt-hours, million",48592,,total_electricity
United States of America,Electricity - imports,2001,"Kilowatt-hours, million",38501,,total_electricity
United States of America,Electricity - imports,2002,"Kilowatt-hours, million",36373,,total_electricity
United States of America,Electricity - imports,2003,"Kilowatt-hours, million",30390,,total_electricity
United States of America,Electricity - imports,2004,"Kilowatt-hours, million",34210,,total_electricity
United States of America,Electricity - imports,2005,"Kilowatt-hours, million",44527,,total_electricity
United States of America,Electricity - imports,2006,"Kilowatt-hours, million",42691,,total_electricity
United States of America,Electricity - imports,2007,"Kilowatt-hours, million",51396,,total_electricity
United States of America,Electricity - imports,2008,"Kilowatt-hours, million",57019,,total_electricity
United States of America,Electricity - imports,2009,"Kilowatt-hours, million",52191,,total_electricity
United States of America,Electricity - imports,2010,"Kilowatt-hours, million",45083,,total_electricity
United States of America,Electricity - imports,2011,"Kilowatt-hours, million",52301,,total_electricity
United States of America,Electricity - imports,2012,"Kilowatt-hours, million",59257,,total_electricity
United States of America,Electricity - imports,2013,"Kilowatt-hours, million",70355,,total_electricity
United States of America,Electricity - imports,2014,"Kilowatt-hours, million",66511,,total_electricity
United Rep. of Tanzania,Electricity - imports,1995,"Kilowatt-hours, million",32,,total_electricity
United Rep. of Tanzania,Electricity - imports,1996,"Kilowatt-hours, million",33,,total_electricity
United Rep. of Tanzania,Electricity - imports,1997,"Kilowatt-hours, million",44,,total_electricity
United Rep. of Tanzania,Electricity - imports,1998,"Kilowatt-hours, million",45,,total_electricity
United Rep. of Tanzania,Electricity - imports,1999,"Kilowatt-hours, million",53,,total_electricity
United Rep. of Tanzania,Electricity - imports,2000,"Kilowatt-hours, million",55,,total_electricity
United Rep. of Tanzania,Electricity - imports,2001,"Kilowatt-hours, million",66,,total_electricity
United Rep. of Tanzania,Electricity - imports,2002,"Kilowatt-hours, million",79,,total_electricity
United Rep. of Tanzania,Electricity - imports,2003,"Kilowatt-hours, million",95,,total_electricity
United Rep. of Tanzania,Electricity - imports,2004,"Kilowatt-hours, million",113,,total_electricity
United Rep. of Tanzania,Electricity - imports,2005,"Kilowatt-hours, million",72,,total_electricity
United Rep. of Tanzania,Electricity - imports,2006,"Kilowatt-hours, million",169,,total_electricity
United Rep. of Tanzania,Electricity - imports,2007,"Kilowatt-hours, million",60,,total_electricity
United Rep. of Tanzania,Electricity - imports,2008,"Kilowatt-hours, million",52,,total_electricity
United Rep. of Tanzania,Electricity - imports,2009,"Kilowatt-hours, million",65,,total_electricity
