country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
Austria,Renewable percentage,2014,Percentage,75.6,,total_electricity
Belgium,Renewable percentage,2014,Percentage,58.75,,total_electricity
Czechia,Renewable percentage,2014,Percentage,41.72,,total_electricity
Finland,Renewable percentage,2014,Percentage,55.94,,total_electricity
France,Renewable percentage,2014,Percentage,93.95,,total_electricity
Greece,Renewable percentage,2014,Percentage,23.95,,total_electricity
Hungary,Renewable percentage,2014,Percentage,56.74,,total_electricity
Italy,Renewable percentage,2014,Percentage,37.04,,total_electricity
"Korea, Republic of",Renewable percentage,2014,Percentage,30.57,,total_electricity
Netherlands,Renewable percentage,2014,Percentage,10.43,,total_electricity
Romania,Renewable percentage,2014,Percentage,59.04,,total_electricity
Serbia,Renewable percentage,2014,Percentage,34.13,,total_electricity
Slovakia,Renewable percentage,2014,Percentage,75.05,,total_electricity
Ukraine,Renewable percentage,2014,Percentage,54.3,,total_electricity
United Kingdom,Renewable percentage,2014,Percentage,32.04,,total_electricity
United States of America,Renewable percentage,2014,Percentage,30.87,,total_electricity
Brunei Darussalam,Renewable percentage,2014,Percentage,0.04,,total_electricity
Bulgaria,Renewable percentage,2014,Percentage,49.73,,total_electricity
Canada,Renewable percentage,2014,Percentage,78.41,,total_electricity
Chile,Renewable percentage,2014,Percentage,33.95,,total_electricity
Croatia,Renewable percentage,2014,Percentage,72.97,,total_electricity
Iran (Islamic Rep. of),Renewable percentage,2014,Percentage,6.81,,total_electricity
Jordan,Renewable percentage,2014,Percentage,0.33,,total_electricity
Lithuania,Renewable percentage,2014,Percentage,40.94,,total_electricity
Mexico,Renewable percentage,2014,Percentage,20.3,,total_electricity
Oman,Renewable percentage,2014,Percentage,0.0,,total_electricity
Other Asia,Renewable percentage,2014,Percentage,19.95,,total_electricity
Poland,Renewable percentage,2014,Percentage,6.55,,total_electricity
Portugal,Renewable percentage,2014,Percentage,55.59,,total_electricity
Spain,Renewable percentage,2014,Percentage,59.54,,total_electricity
Sweden,Renewable percentage,2014,Percentage,91.13,,total_electricity
Switzerland,Renewable percentage,2014,Percentage,95.03,,total_electricity
T.F.Yug.Rep. Macedonia,Renewable percentage,2014,Percentage,23.03,,total_electricity
Turkey,Renewable percentage,2014,Percentage,20.46,,total_electricity
Uzbekistan,Renewable percentage,2014,Percentage,21.35,,total_electricity
Argentina,Renewable percentage,2014,Percentage,33.8,,total_electricity
Colombia,Renewable percentage,2014,Percentage,64.1,,total_electricity
Germany,Renewable percentage,2014,Percentage,34.42,,total_electricity
Norway,Renewable percentage,2014,Percentage,97.56,,total_electricity
Australia,Renewable percentage,2014,Percentage,13.5,,total_electricity
"China, Macao SAR",Renewable percentage,2014,Percentage,0.0,,total_electricity
Japan,Renewable percentage,2014,Percentage,11.44,,total_electricity
Denmark,Renewable percentage,2014,Percentage,42.54,,total_electricity
Ireland,Renewable percentage,2014,Percentage,23.29,,total_electricity
Philippines,Renewable percentage,2014,Percentage,25.4,,total_electricity
Bangladesh,Renewable percentage,2014,Percentage,1.32,,total_electricity
Eritrea,Renewable percentage,2014,Percentage,0.54,,total_electricity
Ethiopia,Renewable percentage,2014,Percentage,99.91,,total_electricity
Lesotho,Renewable percentage,2014,Percentage,100.0,,total_electricity
Nepal,Renewable percentage,2014,Percentage,99.72,,total_electricity
Niger,Renewable percentage,2014,Percentage,0.0,,total_electricity
Pakistan,Renewable percentage,2014,Percentage,35.06,,total_electricity
Serbia and Montenegro,Renewable percentage,2014,Percentage,0,,total_electricity
Tunisia,Renewable percentage,2014,Percentage,3.09,,total_electricity
